藤巻亮太、新アルバム収録内容を解禁。初回盤ボーナストラックは“3月9日”セルフカバー,藤巻亮太が、9月20日(水)発売のアルバム『北極星』の収録曲とジャケット写真を公開した。同アルバムには小林武史と久々にタッグを組んだ“...
蒼汰、初舞台「髑髏上の七人」で初主演!,俳優の福士蒼汰(24)が11月から上演される劇団☆新感線の舞台「髑髏(どくろ)城の七人 Season月」で、初めて舞台に出演し、主演を...
深田恭子とデートなう？“オモミ”姿が悶絶級の可愛さ,【深田恭子／モデルプレス＝8月10日】女優の深田恭子が、今年度第2弾の放送を迎えるコント番組『LIFE！～人生に捧げるコント～』（NH...
三浦翔平、サーファー姿に「完璧なイケメン」「何でも出来る」と反響 動画で公開,【三浦翔平／モデルプレス＝8月10日】俳優の三浦翔平が10日、自身のInstagramを更新。サーフィンを楽しむ姿に反響があつまった。...
"入国審査シム『Papers, Please』の実写短編ティーザートレイラー！","入国審査シム『Papers, Please』の実写短編ティーザートレイラー！もっと画像を見る2013年に登場し話題となった入国審査シム..."
ガジェット通信放送予定：格ゲーマートークバラエティ『まだ走りたい』#95,格闘ゲー宣教師“せんとす”さん、プロ格ゲー実況者“アール”さん、格闘ゲーム界の顔“総師範KSK”さんが、様々なテーマで進めるトークを中...
仲宗根 泉(HY)、『1分間のラブソング』CDアルバム&書籍同時発売決定,"HYのキーボードであり、ヴォーカルを務める仲宗根泉のインスタグラムに不定期にアップされる""Izupera""という1分間の楽曲が、10月..."
=LOVE、”夜明け”を迎えるデビューシングルジャケット公開,指原莉乃プロデュースのアイドルグループ「=LOVE」(イコールラブ)が、9月6日にリリースするメジャーデビューシングル「=LOVE」の...
アンジェリカ、生放送で交際質問はぐらかす 蟹江一平白旗「上手く交わした...」,モデルの道端アンジェリカが１０日、ＴＯＫＹＯ　ＭＸの「ひるキュン」に生出演。年上の会社員との交際を明かした翌日となっただけに、ＭＣの蟹...
世界的アニメ「ルーニー・テューンズ」の人気キャラクターと ランジェリーブランド「YUMMY MART」が限定コラボアイテムを発売！,東京発のランジェリーブランド「ヤミーマート（YUMMY MART）」が、世界中で愛されているアニメシリーズ「ルーニー・テューンズ」に登...
E-girls・Awesome City Club・KANA-BOON・宮野真守・LiSAが8・19『シブヤノオト』特番に出演,"Awesome City Club ©NHK
　8月19日（土）に放送される『シブヤノオト and more Fes.』（NHK総合）..."
星野源の“オモえもん”が8・14『LIFE!』で帰ってくる！妹・“オモミ”は深田恭子,"©NHK
　8月14日（月）に放送される内村光良率いるコント番組『LIFE！～人生に捧げるコント～』（NHK総合）に、星野源演じる大人..."
米米CLUB、TOKYO FMをジャック,"米米CLUBが8月14日（月）、TOKYO FMのワイド番組全4プログラムに登場する。

今回のワンデージャック企画は、ベストアルバム..."
D-LITE(from BIGBANG)、＜東京ガールズコレクション＞出演決定,BIGBANGのD-LITEが、9月2日（土）さいたまスーパーアリーナにて開催の＜マイナビ presents 第25回 東京ガールズコ...
滝沢カレンが激変！ラテンセクシーな“大人の女”に,【滝沢カレン／モデルプレス＝8月10日】モデルでタレントの滝沢カレンが雑誌「GLITTER」9月号に登場。普段とイメージの異なる大人の...
小林麻央さん四十九日 夫・市川海老蔵が報告,【小林麻央・市川海老蔵／モデルプレス＝8月10日】10日、6月22日に乳がんで亡くなったフリーアナウンサーの小林麻央さんの四十九日を迎...
夜遊び、シャンパン大好き！恵比寿★マスカッツ・明日花キララが新ユニット結成,恵比寿★マスカッツのリーダー・明日花キララが『CHAMPAGNE KING』（シャンパン・キング）となり、専属ダンサーとして吉澤ゲッス...
【動画あり】芸人・小藪千豊さんのドラムの腕前がスゴイと話題に！ しかしあるプロミュージシャンは辛口の採点,芸人でありながら、楽器演奏に長けている人は意外と多い。たとえばフットボールアワーの後藤輝基さんはギターコレクターであり、ギターの腕前も...
ネットを虜にしたNHK『ねほりんぱほりん』復活 元薬物中毒者も再び,"NHK Eテレのトークバラエティ番組『ねほりんぱほりん』が、2017年9月1日（金）22時から特番として帰ってくる。
エピソードゲスト..."
アンジェリカ、生放送で交際質問はぐらかす 蟹江一平白旗「上手く交わした...」,モデルの道端アンジェリカが１０日、ＴＯＫＹＯ　ＭＸの「ひるキュン」に生出演。年上の会社員との交際を明かした翌日となっただけに、ＭＣの蟹...
